code,genus,species,subspecies,variety,location,county,state,country,supplyer,old_code,number,year,comment
SARALA008,Sarracenia,alata,,nigropurpurea,"Desoto, Mississipi",Forrest,Mississippi,United States,sarracenia.fr,SAL-004 B ,8,2022,Beautiful large dark brown form of alata with curved lid. (MK A27)
,Sarracenia,alata,,cuprea,Texas,NA,Texas,United States,Stefano Tognon - ice00,X121-19,,2020,"alata var cuprea Texas , tall, Copper Lid and upper tube x self"
SARALA009,Sarracenia,alata,,atrorubra,,,,,sarracenia.fr,SAL-009 A ,9,2022,Red tube. Dark red form S.alata to curved hood.
SARALA010,Sarracenia,alata,,atrorubra,,,,,sarracenia.fr,SAL-009 C ,10,2022,"Red Skin. Completely red, inside and outside. Slightly pubescent."
,Sarracenia,flava,,maxima,"Sussex Co., Virginia",Sussex,Virginia,United States,Stefano Tognon - ice00,X38-19,,2020,"flava var. maxima, Beautiful yellow pitchers, Sussex Co., Virginia, F64 Phil Wilson x self"
,Sarracenia,flava,,rubicorpora,,,,,Stefano Tognon - ice00,X19-20,,2020,(F111 MK) x self
,Sarracenia,flava,,rubicorpora x ornata,,,,,Stefano Tognon - ice00,X22-20,,2020,var. rubicorpora (F111 MK) x flava var ornata F72PW 
,Sarracenia,flava,,cuprea,,,,,Stefano Tognon - ice00,X7-19,,2020,(flava var cuprea Dennis Balsdon x self) x flava var cuprea Dennis Balsdon
,Sarracenia,flava,,,,,,,Michiels Ewoud,,,2020,"flava ""Goldie"" x S. flava var. cuprea (MK F90)"
SARFLA001,Sarracenia,flava,,rubricorpora,,,,,GfP - Matthias Pfeiffer,,1,2022,red pubescent x self
SARFLA002,Sarracenia,flava,,ornata,,,,,GfP - Matthias Pfeiffer,,2,2022,var. ornata MS 77/1 x flava var. ornata F31
SARFLA004,Sarracenia,flava,,,,,,,GfP - Matthias Pfeiffer,,4,2022,var ornata MS 77/1 x rubricorpora red pubesent
SARFLA005,Sarracenia,flava,,ornata,,,,,GfP - Matthias Pfeiffer,,5,2022,var. ornata F31 x flava var. ornata MS 77/1
SARFLA006,Sarracenia,flava,,,,,,,GfP - Matthias Pfeiffer,,6,2022,var. cuprea F218 x flava var. ornata MS 77/1
SARLEU003,Sarracenia,leucophylla,,,"Ben's Bog, Baldwin Co., AL",Baldwin,Alabama,United States,GfP - Matthias Pfeiffer,,3,2022,L90 x self
