Sarracenia,alata,,,United States,Louisiana,St. Tammany Parish,2_BCP,"Sarracenia alata {St. Tammany Parish, Louisiana, USA}"
Sarracenia,flava,,,United States,Florida,Wakulla,2_BCP,"Sarracenia flava {Apalachicola National Forest, Wakulla Co., Florida, USA} [BCP ID# R-S7C]"
Sarracenia,flava,,,United States,South Carolina,Lexington,2_BCP,"Sarracenia flava {cutthroat, near Edmund, SC, USA} "
Sarracenia,flava,,,United States,South Carolina,Dorchester,2_BCP,"Sarracenia flava {Harleyville, Dorchester Co., South Carolina, USA} "
Sarracenia,flava,,,United States,North Carolina,Brunswick,2_BCP,"Sarracenia flava {mixed forms, Green Swamp, Brunswick Co., NC, USA} "
Sarracenia,flava,,maxima,United States,South Carolina,Berkeley,2_BCP,"Sarracenia flava var. maxima {Francis Marion NF, Berkeley Co., SC, USA}"
Sarracenia,minor,,okefenokeensis,United States,Georgia,Ware,2_BCP,"Sarracenia minor var. okefenokeensis {Ware Co., Georgia, USA} [BCP ID# R-6M] "
Sarracenia,oreophila,,,United States,Alabama,Marshall,2_BCP,"Sarracenia oreophila {Boaz Pond, Marshall Co., Alabama, USA}"
Sarracenia,oreophila,,,United States,Alabama,De Kalb,2_BCP,"Sarracenia oreophila {De Kalb Co., Alabama, USA} [BCP ID# R-S8A]"
Sarracenia,oreophila,,,United States,North Carolina,Clay,2_BCP,"Sarracenia oreophila {narrow phyllodias, Clay Co., NC, USA}"
Sarracenia,oreophila,,,United States,Georgia,,2_BCP,"Sarracenia oreophila {large form, long lasting pitchers, Georgia, USA}"
Sarracenia,purpurea,purpurea,,United States,Pennsylvania,Monroe,2_BCP,"Sarracenia purpurea {Monroe Co., Pennsylvania, USA} [BCP ID# R-S5B]"
Sarracenia,purpurea,purpurea,,United States,New Jersey,Burlington,2_BCP,"Sarracenia purpurea {Pine Barrens, Burlington Co., New Jersey, USA} [BCP ID# KP34]"
Sarracenia,purpurea,purpurea,,United States,New Jersey,Ocean,2_BCP,"Sarracenia purpurea {Pine Barrens, Ocean Co., New Jersey, USA} [BCP ID# KP33]"
Sarracenia,purpurea,purpurea,,United States,Maine,Washington,2_BCP,"Sarracenia purpurea subsp. purpurea {Grand Lake Stream, Washington Co., Maine, USA}"
Sarracenia,purpurea,purpurea,,Canada,Ontario,Bruce,2_BCP,"Sarracenia purpurea subsp. purpurea var. ripicola {Dorcas Bay, Bruce Peninsula, Ontario, Canada} "
Sarracenia,purpurea,purpurea,,Canada,Ontario,Haliburton,2_BCP,"Sarracenia purpurea subsp. purpurea {Spruce Bog, Algonquin Park, Ontario, Canada} (10s)"
Sarracenia,purpurea,venosa,,United States,North Carolina,Brunswick,2_BCP,"Sarracenia purpurea subsp. venosa {Green Swamp, Brunswick Co., NC, USA} [BCP ID# R-S5D]"
Sarracenia,purpurea,venosa,,United States,North Carolina,Pender,2_BCP,"Sarracenia purpurea subsp. venosa {Hampstead, Pender Co., NC, USA}"
Sarracenia,purpurea,venosa,,United States,North Carolina,Columbus,2_BCP,"Sarracenia purpurea subsp. venosa {near Old Dock, Columbus Co., NC, USA}"
Sarracenia,rubra,alabamensis,,United States,Alabama,Autauga,2_BCP,"Sarracenia rubra ssp. alabamensis {Autauga Co., Alabama, USA}"
Sarracenia,rubra,rubra,,United States,North Carolina,Brunswick,2_BCP,"Sarracenia rubra subsp. rubra {Brunswick Co., North Carolina, USA} [BCP ID# R-S1C]"
Sarracenia,rubra,wherryi,,United States,Alabama,Washington,2_BCP,"Sarracenia rubra subsp. wherryi {Washington Co., Alabama, USA} [BCP ID# R-S1G]"
Sarracenia,x moorei,,,United States,Florida,Santa Rosa,2_BCP,"Sarracenia flava x S. leucophylla {Yellow River, Santa Rosa Co., FL, USA}"
Sarracenia,flava,,cuprea,United States,South Carolina,Brunswick,2_CK,"S. flava var. cuprea, F 216, Green Swamp [Brunswick or Columbus Co.]"
Sarracenia,flava,,flava,United States,Florida,Bay,2_CK,"S. flava var. flava, Orange Tube, IP F39a, Sandy Creek"
