genus,species,subspecies,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,elevationAccuracy,year,gbifID,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,neighbourhood,village,municipality,amenity,hamlet,city,town,building,locality,natural,tourism,ISO3166-2-lvl6,region,leisure,suburb,residential,state_district,man_made,highway,city_district,landuse,township,ISO3166-2-lvl3,isolated_dwelling,shop,ISO3166-2-lvl7,historic,quarter,farm,industrial,farmyard,military,ISO3166-2-lvl5,borough,railway,retail,emergency,healthcare,place,aeroway,office,club,commercial
Sarracenia,leucophylla,NA,30.472,-87.086,103,-41.44,0,2020,3957547131,"5801, Raughton Road, Santa Rosa County, Florida, 32583, United States",314380314,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11308467,30.472021,-87.085185,5801,Raughton Road,Santa Rosa County,Florida,US-FL,32583,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.471804,-63.801193,16,-34.75,0,2020,3952212572,"High Head Trail, Prospect Village, Prospect, Halifax Regional Municipality, Halifax County, Nova Scotia, B3T 2B2, Canada",194401157,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,379371234,44.4720073,-63.801006,NA,High Head Trail,Halifax County,Nova Scotia,CA-NS,B3T 2B2,Canada,ca,,Prospect Village,Prospect,Halifax Regional Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,minor,NA,29.563082,-81.297757,9,-33.09,0,2021,3949635913,"Flagler County, Florida, United States",298185580,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,1210749,29.4844412,-81.2917415,NA,NA,Flagler County,Florida,US-FL,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,34.205329,-77.905446,8,-26.78,0,2021,3952620791,"Alderman Elementary School, 2025, Independence Boulevard, South Oleander, Wilmington, New Hanover County, North Carolina, 28403, United States",196650664,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,392761646,34.20528755,-77.90725847250465,2025,Independence Boulevard,New Hanover County,North Carolina,US-NC,28403,United States,us,,NA,NA,NA,Alderman Elementary School,South Oleander,Wilmington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,47.784772,-64.564708,4,-26,0,2019,3956236311,"Saint-Raphaël-sur-Mer, Sainte-Marie-Saint-Rapha�l, Shippagan Parish, Gloucester County, New Brunswick / Nouveau-Brunswick, Canada",144451687,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,165459704,47.7850903,-64.5648585,NA,NA,Shippagan Parish,New Brunswick / Nouveau-Brunswick,CA-NB,NA,Canada,ca,,NA,Saint-Raphaël-sur-Mer,NA,NA,NA,Sainte-Marie-Saint-Rapha�l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,leucophylla,NA,30.344,-87.637,107,-26,0,2021,3959426657,"Philomene Holmes Boulevard, Foley, Baldwin County, Alabama, United States",238816081,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,666007641,30.344838236835233,-87.63757536033658,NA,Philomene Holmes Boulevard,Baldwin County,Alabama,US-AL,NA,United States,us,,NA,NA,NA,NA,NA,NA,Foley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,44.442593,-63.62809,10,-22,0,2019,2648978234,"Pennant Point Trail, Sambro Creek, Halifax Regional Municipality, Halifax County, Nova Scotia, B3V 1L8, Canada",244148379,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,697874139,44.442570065280556,-63.62807908930822,NA,Pennant Point Trail,Halifax County,Nova Scotia,CA-NS,B3V 1L8,Canada,ca,,NA,Sambro Creek,Halifax Regional Municipality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,flava,NA,30.655534,-85.64079,10,-18.56,0,2020,3952334876,"Joy Road, Washington County, Florida, 32428, United States",103830978,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11381639,30.653861,-85.638607,NA,Joy Road,Washington County,Florida,US-FL,32428,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,34.088487,-78.291843,9,-17.28,0,2020,3953200750,"Brunswick County, North Carolina, United States",298114152,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",relation,2528677,34.0718195,-78.1914215,NA,NA,Brunswick County,North Carolina,US-NC,NA,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarracenia,purpurea,NA,33.120957,-80.405613,13,-17,0,2020,3953856513,"Salem Road, Dorchester, Dorchester County, South Carolina, 29437, United States",340156398,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12361920,33.122837430243464,-80.40109886260947,NA,Salem Road,Dorchester County,South Carolina,US-SC,29437,United States,us,,NA,NA,NA,NA,Dorchester,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
